id,name_primary,name_en,type_vn,type_en,source,state,inedible_portion_pct,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sodium_mg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,zinc_mg,copper_mcg,manganese_mg,beta_carotene_mcg,vitamin_a_mcg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,vitamin_c_mg,vitamin_b1_mg,vitamin_b2_mg,vitamin_pp_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_h_mcg,last_verified
fao_vn_2007_1017_raw,Bột gạo tẻ,Rice ordinary flour,Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,raw,0.0,359.0,6.6,82.2,0.4,0.4,0.0,24.0,1.9,35.0,135.0,76.0,0.8,130.0,1.2,0.0,0.0,,0.11,0.0,0.0,0.08,0.05,2.1,0.819,0.436,0.0,0.0,1.0,2026-02-26
fao_vn_2007_1018_raw,Bột mì,Wheat flour,Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,raw,0.0,346.0,10.3,73.6,1.1,0.3,4.0,29.0,2.0,173.0,132.0,186.0,2.5,21.0,2.0,0.0,0.0,,0.82,1.9,0.0,0.18,0.13,1.0,1.008,0.341,0.0,0.0,1.9,2026-02-26
fao_vn_2007_1019_raw,Bột ngô vàng,Yellow maize flour,Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,raw,0.0,361.0,8.3,73.0,4.0,1.5,5.0,15.0,2.1,93.0,170.0,315.0,1.73,230.0,0.46,97.0,0.0,,0.42,0.3,0.0,0.17,0.08,1.9,0.658,0.37,0.0,0.0,,2026-02-26
fao_vn_2007_1020_raw,Bún,Rice vermicelli,Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,raw,0.0,110.0,1.7,25.7,,0.5,,12.0,0.2,,32.0,,,,,0.0,0.0,,,,0.0,0.04,0.01,1.3,,,,,,2026-02-26
fao_vn_2007_1021_raw,Cốm,"Rice, unriped. Raw",Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,raw,0.0,297.0,6.1,66.3,0.8,0.6,,24.0,1.0,,143.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,2026-02-26
fao_vn_2007_1022_raw,Mỳ sợi,Wheat noodles,Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,raw,0.0,349.0,11.0,74.2,0.9,0.3,,34.0,1.5,,97.0,,,,,0.0,0.0,,,,0.0,0.1,0.04,1.1,,,,,,2026-02-26
fao_vn_2007_1023_cooked,Ngô nếp luộc,"Glutinous maize, boiled",Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,cooked,50.0,167.0,3.9,32.9,2.2,1.2,,18.0,0.8,,146.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,2026-02-26
fao_vn_2007_2001_raw,Củ ấu,Water-caltrops,Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,50.0,115.0,3.6,24.0,0.5,1.0,,9.0,0.7,,49.0,,,,,5.0,0.0,,,,5.0,0.23,0.05,1.9,,,,,,2026-02-26
fao_vn_2007_2002_raw,Củ cái,Yam winged,Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,15.0,127.0,3.1,28.3,0.2,1.8,12.0,20.0,2.9,20.0,32.0,397.0,11.0,,,83.0,0.0,,0.39,2.6,1.0,,,,0.314,0.293,0.0,0.0,,2026-02-26
fao_vn_2007_2003_raw,Củ dong,Bermuda tuber,Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,4.0,119.0,1.4,28.4,,2.4,,42.0,,,21.0,,,,,0.0,0.0,,,,,,,,,,,,,2026-02-26
fao_vn_2007_2004_raw,Củ sắn,Bitter cassava,Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,25.0,152.0,1.1,36.4,0.2,1.5,2.0,25.0,1.2,4.0,30.0,394.0,,,,8.0,0.0,,0.19,1.9,34.0,0.03,0.03,0.6,0.107,0.088,0.0,0.0,,2026-02-26
fao_vn_2007_2005_raw,Củ sắn dây,Radix puerariae,Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,10.0,119.0,1.6,28.0,0.1,9.2,,28.0,0.2,,45.0,,,,,0.0,0.0,,,,,,,,,,,,,2026-02-26
fao_vn_2007_2006_raw,Củ súng khô (đã bỏ vỏ),"Nymphaea stellata wild, dried, unshelled",Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,0.0,350.0,16.1,70.3,0.5,2.3,,100.0,0.2,,720.0,,,,,0.0,0.0,,,,,,,,,,,,,2026-02-26
fao_vn_2007_2007_raw,Củ từ,"Igname Yam, Chinese",Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,6.0,92.0,1.5,21.5,,1.2,,28.0,0.2,,30.0,,,,,0.0,0.0,,,,2.0,,,,,,,,,2026-02-26
fao_vn_2007_2008_raw,Khoai lang,"Sweet potato, white",Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,17.0,119.0,0.8,28.5,0.2,1.3,31.0,34.0,1.0,201.0,49.0,210.0,0.2,260.0,0.39,150.0,0.0,,0.26,1.8,23.0,0.05,0.05,0.6,0.8,0.209,0.0,0.0,,2026-02-26
fao_vn_2007_2009_raw,Khoai lang nghệ,"Sweet potato, yellow",Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,13.0,116.0,1.2,27.1,0.3,0.8,,36.0,0.9,,56.0,,,,,1470.0,0.0,,,,30.0,0.12,0.05,0.6,,,,,,2026-02-26
fao_vn_2007_2010_raw,Khoai môn,"Chinese Yam, spiny yam",Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,14.0,109.0,1.5,25.2,0.2,1.2,,44.0,0.8,,44.0,,,,,,0.0,,,,4.0,0.09,0.03,0.1,,,,,,2026-02-26
fao_vn_2007_2011_raw,Khoai nước,Water-taro,Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,14.0,98.0,1.0,23.3,0.1,2.0,,52.0,0.2,,35.0,,,,,,0.0,,,,3.0,,,,,,,,,2026-02-26
fao_vn_2007_2012_raw,Khoai riềng,Edible canna,Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,19.0,104.0,0.8,25.1,,2.5,,64.0,1.7,,107.0,,,,,,0.0,,,,,,,,,,,,,2026-02-26
fao_vn_2007_2013_raw,Khoai sọ,Taro tuber,Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,18.0,114.0,1.8,26.5,0.1,1.2,10.0,64.0,1.5,33.0,75.0,448.0,,,0.38,35.0,0.0,,2.38,1.0,4.0,0.06,0.03,0.1,0.303,0.283,0.0,0.0,,2026-02-26
fao_vn_2007_2014_raw,Khoai tây,"Potato, white",Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,13.0,93.0,2.0,20.9,0.1,1.0,7.0,10.0,1.2,32.0,50.0,396.0,0.3,230.0,0.2,5.0,0.0,,0.01,1.6,10.0,0.1,0.05,0.9,0.281,0.203,0.0,0.0,0.47,2026-02-26
fao_vn_2007_2015_raw,Miến dong,Vermicelli from Bermuda tuber,Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,0.0,332.0,0.6,82.2,0.1,1.5,,40.0,1.0,,120.0,,,,,0.0,0.0,,,,,,,,,,,,,2026-02-26
fao_vn_2007_2016_raw,Bột dong lọc,Bermuda flour,Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,0.0,341.0,0.6,84.7,,0.5,,37.0,1.7,,18.0,,,,,0.0,0.0,,,,,,,,,,,,,2026-02-26
fao_vn_2007_2017_raw,Bột khoai lang,Sweet potato flour,Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,0.0,334.0,2.2,80.2,0.5,1.6,,50.0,2.0,,95.0,,,,,0.0,0.0,,,,,0.24,0.09,1.5,,,,,,2026-02-26
fao_vn_2007_2018_raw,Bột khoai riềng (bột đao),"Canna edulis Ker, flour",Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,0.0,337.0,0.2,84.1,,1.5,,16.0,,,17.0,,,,,0.0,0.0,,,,,,,,,,,,,2026-02-26
fao_vn_2007_2019_raw,Bột khoai tây (lọc),"Potato flour, white",Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,0.0,345.0,1.0,84.4,0.3,0.4,,30.0,3.0,,125.0,,,,,0.0,0.0,,0.25,0.0,,0.01,,0.4,0.474,0.769,0.0,0.0,,2026-02-26
fao_vn_2007_2020_raw,Bột sắn,Cassava flour,Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,0.0,333.0,2.4,79.6,0.5,2.2,,84.0,,,37.0,,,,,0.0,0.0,,,,,0.02,0.03,0.1,,,,,,2026-02-26
fao_vn_2007_2021_raw,Bột sắn dây,Radix puerariae flour,Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,0.0,340.0,0.7,84.3,,0.8,,18.0,1.5,,20.0,,,,,0.0,0.0,,,,,,,,,,,,,2026-02-26
fao_vn_2007_2022_raw,Khoai lang khô,"Sweet potato, dried",Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,5.0,333.0,2.2,80.0,0.5,3.6,86.0,95.0,2.78,559.0,137.0,584.0,0.56,723.0,1.08,417.0,0.0,,0.72,5.0,,0.09,0.07,1.7,2.225,0.581,0.0,0.0,,2026-02-26
fao_vn_2007_2023_raw,Khoai tây khô,"Potato, white, dried",Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,0.0,330.0,6.6,75.1,0.3,3.4,25.0,37.0,4.3,114.0,180.0,1410.0,1.07,819.0,0.71,18.0,0.0,,0.04,5.7,,0.36,0.18,3.2,1.0,0.723,0.0,0.0,,2026-02-26
fao_vn_2007_2024_raw,Khoai tây lát chiên,"Potato crisp, fried",Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,0.0,525.0,2.2,49.3,35.4,6.3,,37.0,2.1,,130.0,,,,,,0.0,,,,1.0,0.15,0.02,4.6,,,,,,2026-02-26
fao_vn_2007_2025_raw,Sắn khô,Dried bitter cassava,Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,5.0,340.0,3.0,80.3,0.7,3.0,,96.0,7.9,,81.0,,,,,0.0,0.0,,,,,0.06,0.05,0.8,,,,,,2026-02-26
fao_vn_2007_2026_raw,Trân châu sắn,"Tapioca, pearls E.P",Khoai củ và sản phẩm chế biến,Starchy root and products,FAO_VN_2007,raw,0.0,341.0,1.0,84.3,,0.6,,30.0,2.0,,50.0,,,,,0.0,0.0,,,,,0.04,,,,,,,,2026-02-26
fao_vn_2007_3001_raw,Cùi dừa già,"Coconut meat, mature, raw","Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,20.0,368.0,4.8,6.2,36.0,4.2,7.0,30.0,30.0,160.0,154.0,555.0,5.0,50.0,1.3,0.0,0.0,,0.24,0.2,2.0,0.1,0.01,0.2,0.3,0.054,0.0,0.0,,2026-02-26
fao_vn_2007_3002_raw,Cùi dừa non,"Coconut meat, immature, raw","Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,0.0,40.0,3.5,2.6,1.7,3.5,,4.0,1.0,,53.0,,,,,0.0,0.0,,,,6.0,0.04,0.03,0.8,,,,,,2026-02-26
fao_vn_2007_3003_raw,Đậu cô ve (hạt),"French bean seeds, dried","Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,10.0,321.0,21.8,54.9,1.6,3.5,,96.0,,,360.0,,,,,,0.0,,,,,,,,,,,,,2026-02-26
fao_vn_2007_3004_raw,Đậu đen (hạt),"Black bean seeds, dried","Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,2.0,325.0,24.2,53.3,1.7,4.0,,56.0,6.1,,354.0,,,,,30.0,0.0,,0.22,6.0,3.0,0.5,0.21,1.8,0.899,0.286,0.0,,,2026-02-26
fao_vn_2007_3005_raw,Đậu đũa (hạt),"Cow pea whole seeds, dried","Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,10.0,320.0,23.7,51.9,2.0,4.3,,110.0,6.5,,382.0,,,,,10.0,0.0,,0.39,5.0,1.0,0.59,0.22,2.3,1.496,0.357,0.0,0.0,,2026-02-26
fao_vn_2007_3006_raw,Đậu Hà lan (hạt),"Peas garden and field, seeds, dried","Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,0.0,318.0,22.2,54.1,1.4,6.0,9.0,57.0,4.4,145.0,303.0,135.0,4.0,930.0,,70.0,0.0,,0.09,14.5,0.0,0.77,0.18,3.1,1.758,0.174,0.0,0.0,,2026-02-26
fao_vn_2007_3007_raw,Đậu tương (đậu nành),"Yellow dried soybean seeds, dried","Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,2.0,400.0,34.0,24.6,18.4,4.5,2.0,165.0,11.0,236.0,690.0,1504.0,3.8,300.0,1.2,30.0,0.0,,0.85,47.0,4.0,0.54,0.29,2.3,0.793,0.377,0.0,0.0,60.0,2026-02-26
fao_vn_2007_3008_raw,Đậu trắng hạt (Đậu Tây),"Kidney bean whole seeds, dried","Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,2.0,327.0,23.2,53.8,2.1,3.6,,160.0,6.8,,514.0,,,,,10.0,0.0,,0.22,19.0,3.0,0.54,0.18,2.1,0.78,0.397,0.0,0.0,,2026-02-26
fao_vn_2007_3009_raw,Đậu trứng cuốc,"Egg bird bean seeds, dried","Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,2.0,321.0,25.8,50.0,2.0,4.8,,,,,,,,,,,0.0,,,,,,,,,,,,,2026-02-26
fao_vn_2007_3010_raw,Đậu xanh (đậu tắt),"Mungo bean seeds, dried","Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,2.0,328.0,23.4,53.1,2.4,4.7,6.0,64.0,4.8,270.0,377.0,1132.0,1.1,880.0,,30.0,0.0,,0.51,9.0,4.0,0.72,0.15,2.4,1.91,0.382,0.0,0.0,0.7,2026-02-26
fao_vn_2007_3011_raw,Hạt dẻ to,"Chestnut, Chinese whole, raw","Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,30.0,638.0,18.0,8.7,59.0,3.5,,61.0,2.3,,510.0,,,,,10.0,0.0,,,,3.0,0.48,0.13,1.2,,,,,,2026-02-26
fao_vn_2007_3012_raw,Hạt dẻ tươi,"Chestnut, Chinese whole, raw","Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,18.0,223.0,4.2,49.1,1.1,,3.0,18.0,1.41,84.0,96.0,447.0,0.87,363.0,1.6,,0.0,,,,36.0,0.16,0.18,0.8,0.555,0.41,0.0,0.0,1.3,2026-02-26
fao_vn_2007_3013_raw,Hạt dẻ khô,"Chestnut, dried","Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,20.0,363.0,6.8,79.8,1.8,,5.0,29.0,2.29,137.0,155.0,726.0,1.41,590.0,2.6,,0.0,,,,59.0,0.26,0.29,1.3,0.902,0.666,0.0,0.0,,2026-02-26
fao_vn_2007_3014_raw,Hạt đen,Black seed,"Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,50.0,472.0,17.3,35.5,29.0,3.5,,84.0,,,255.0,,,,,,0.0,,,,,,,,,,,,,2026-02-26
fao_vn_2007_3015_raw,Hạt điều,"Cashew nut, common","Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,0.0,605.0,18.4,28.7,46.3,0.6,12.0,28.0,3.6,292.0,462.0,660.0,5.78,2195.0,1.66,5.0,0.0,,0.9,34.1,1.0,0.25,0.34,2.4,0.864,0.417,0.0,0.0,,2026-02-26
fao_vn_2007_3016_raw,Hạt mít,"Jack fruit, seed, raw","Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,15.0,166.0,0.7,38.3,1.1,,,46.0,3.4,,34.0,,,,,0.0,0.0,,,,,,,,,,,,,2026-02-26
fao_vn_2007_3017_raw,Lạc hạt,Dried peanut seed,"Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,2.0,573.0,27.5,15.5,44.5,2.5,4.0,68.0,2.2,185.0,420.0,421.0,1.9,420.0,1.6,10.0,0.0,,8.33,0.0,,0.44,0.12,16.0,1.767,0.348,0.0,0.0,,2026-02-26
fao_vn_2007_3018_raw,Quả cọ tươi,Palm fruit fresh,"Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,40.0,178.0,2.3,12.1,13.4,3.5,,38.0,0.2,,34.0,,,,,,0.0,,,,,,,,,,,,,2026-02-26
fao_vn_2007_3019_raw,Quả đại hái tươi,Hodgsonia fruit,"Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,90.0,427.0,20.0,1.2,38.0,3.4,,66.0,3.1,,440.0,,,,,,0.0,,,,,,,,,,,,,2026-02-26
fao_vn_2007_3020_raw,"Vừng (đen, trắng)","Sesame oriental seeds, whole, dried black or white","Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,5.0,568.0,20.1,17.6,46.4,3.5,11.0,975.0,14.55,351.0,629.0,468.0,7.75,4082.0,2.46,15.0,0.0,,0.25,0.0,0.0,0.79,0.25,4.5,0.05,0.79,0.0,0.0,,2026-02-26
fao_vn_2007_3021_raw,Bột đậu tương đã loại béo (đậu nành),"Soybeans flour, defatted","Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,0.0,321.0,49.0,29.0,1.0,2.5,20.0,247.0,7.6,290.0,602.0,2384.0,2.46,4067.0,3.02,35.0,0.0,,0.2,4.1,0.0,0.7,0.3,2.0,1.995,0.574,0.0,0.0,,2026-02-26
fao_vn_2007_3022_cooked,Bột đậu tương rang chín,Roasted soybeans flour,"Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,cooked,0.0,418.0,41.0,22.9,18.0,2.5,,189.0,7.5,,540.0,,,,,,0.0,,,,,0.4,0.16,2.0,,,,,,2026-02-26
fao_vn_2007_3023_raw,Bột đậu xanh,Mungo bean flour,"Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,0.0,347.0,24.6,56.5,2.5,3.9,6.0,50.0,1.0,283.0,100.0,1185.0,1.15,921.0,,,0.0,,0.53,9.4,4.0,0.75,0.16,2.5,1.999,0.4,0.0,0.0,0.73,2026-02-26
fao_vn_2007_3024_raw,Bột lạc,Peanut flour,"Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,0.0,575.0,27.5,15.0,45.0,2.1,4.0,80.0,3.0,182.0,380.0,414.0,1.87,413.0,1.57,10.0,0.0,,8.2,0.0,,0.4,0.11,15.3,1.739,0.342,0.0,0.0,,2026-02-26
fao_vn_2007_3025_raw,Đậu phụ,"Soybean curt cake pressed, raw","Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,0.0,95.0,10.9,0.7,5.4,0.4,7.0,24.0,2.2,30.0,85.0,121.0,0.8,193.0,0.61,,0.0,,,,0.0,0.03,0.02,0.4,0.068,0.047,0.0,0.0,,2026-02-26
fao_vn_2007_3026_raw,Đậu phụ chúc,Curd tofu concentrated,"Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,raw,0.0,414.0,50.2,6.5,20.8,0.3,,325.0,10.8,,225.0,,,,,,0.0,,,,,,,,,,,,,2026-02-26
fao_vn_2007_3027_cooked,Đậu phụ nướng,"Curd tofu, fried","Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,cooked,0.0,114.0,13.4,0.8,6.4,0.5,,370.0,4.7,,167.0,,,,,,0.0,,,,,0.04,0.05,0.1,,,,,,2026-02-26
fao_vn_2007_3028_cooked,Hạt bí đỏ rang,"Pumpkin seeds, fried","Hạt, quả giàu đạm, béo và sản phẩm chế biến","Pulses, nuts, seeds and products",FAO_VN_2007,cooked,19.0,519.0,35.1,23.0,31.8,2.3,,235.0,2.2,,900.0,,,,,235.0,0.0,,,,,0.15,0.15,3.0,,,,,,2026-02-26
